Title,Section,call_number,MinCredit,MaxCredit,MaxEnrollment,Cur_Enroll,Status,StartDate,EndDate,Instructor,Term,Meeting_day,start_time,end_time,site,Building,Room,Activity,control,Argument,value,Operator
Project in AAI (Masters),AAI 800A,12379,1,6,49,0,O,2019-08-26Z,2019-12-20Z,Song M,2019F,TBA,NA,NA,Castle Point,N/A,N/A,PRA,NA,,,
Thesis in AAI (Masters),AAI 900A,12361,1,10,0,1,C,2019-08-26Z,2019-12-20Z,Chandramouli R,2019F,TBA,NA,NA,Castle Point,N/A,N/A,LEC,NA,,,
Intermediate Accounting I,ACC 311A,12171,3,3,7,7,C,2019-08-26Z,2019-12-20Z,Chen J,2019F,T,8:30:00Z,9:45:00Z,Castle Point,BC,212,LEC,NA,,,
Federal Taxation of Individuals,ACC 351A,12172,3,3,11,12,C,2019-08-26Z,2019-12-20Z,Biagi J,2019F,M,9:00:00Z,10:15:00Z,Castle Point,BC,212,LEC,NA,,,
"Bus Analy: Data,Models,Decisions",BIA 600A,10001,3,3,35,30,O,2019-08-26Z,2019-12-20Z,Vazacopoulos A,2019F,W,8:30:00Z,11:00:00Z,Castle Point,BC,310,LEC,NA,,,
"Bus Analy: Data,Models,Decisions",BIA 600MX1,12149,3,3,24,14,O,2019-08-26Z,2019-10-11Z,Vazacopoulos A,2019F,T,5:00:00Z,7:30:00Z,Castle Point,BC,203,LEC,NA,NA,NA,NA
Applied Analytics,BIA 610A,12348,3,3,40,39,O,2019-08-26Z,2019-12-20Z,Feinstein Z,2019F,M,14:15:00Z,16:45:00Z,Castle Point,M,103,LEC,NA,,,
Optimization & Proc. Analytics,BIA 650A,10002,3,3,40,40,C,2019-08-26Z,2019-12-20Z,Stohr E,2019F,R,14:30:00Z,17:00:00Z,Castle Point,E,230,LEC,NA,,,
Optimization & Proc. Analytics,BIA 650B,10003,3,3,40,38,O,2019-08-26Z,2019-12-20Z,Moazeni S,2019F,R,11:30:00Z,14:00:00Z,Castle Point,X,105,LEC,NA,,,
Optimization & Proc. Analytics,BIA 650W0,10005,3,3,19,18,O,2019-08-26Z,2019-12-20Z,Stohr E,2019F,R,14:30:00Z,17:00:00Z,W0,E,230,LEC,NA,,,
Multivariate Data Analysis I,BIA 652A,10006,3,3,40,38,O,2019-08-26Z,2019-12-20Z,Mai F,2019F,M,14:15:00Z,16:45:00Z,Castle Point,X,218B,LEC,NA,,,
Multivariate Data Analysis I,BIA 652B,10007,3,3,40,41,C,2019-08-26Z,2019-12-20Z,Dehnad K,2019F,W,8:30:00Z,11:00:00Z,Castle Point,M,103,LEC,NA,,,
Multivariate Data Analysis I,BIA 652C,12435,3,3,35,32,O,2019-08-26Z,2019-12-20Z,Brantle T,2019F,R,14:30:00Z,17:00:00Z,Castle Point,BC,304,LEC,NA,,,
Multivariate Data Analysis I,BIA 652MX2,12150,3,3,24,17,O,2019-10-14Z,2019-12-06Z,Dehnad K,2019F,R,5:00:00Z,7:30:00Z,Castle Point,BC,203,LEC,NA,NA,NA,NA
Multivariate Data Analysis I,BIA 652WS,11876,3,3,50,7,O,2019-08-26Z,2019-12-20Z,Brantle T,2019F,TBA,NA,NA,WS,OFF,WEB,LEC,NA,,,
Experimental Design II,BIA 654A,10010,3,3,40,27,O,2019-08-26Z,2019-12-20Z,Lee C,2019F,W,8:30:00Z,11:00:00Z,Castle Point,BC,210,LEC,NA,,,
Experimental Design II,BIA 654WZ,12176,3,3,40,19,O,2019-09-03Z,2019-12-03Z,Lee C,2019F,T,13:40:00Z,16:20:00Z,WZ,OFF,CLOSED,LEC,NA,NA,NA,NA
Adv Data Analytics&Machine Learn,BIA 656A,10011,3,3,35,8,O,2019-08-26Z,2019-12-20Z,Creamer G,2019F,R,8:30:00Z,11:00:00Z,Castle Point,BC,HFSL,LEC,NA,,,
Social Network Analysis,BIA 658A,10012,3,3,40,36,O,2019-08-26Z,2019-12-20Z,Mai F,2019F,M,11:00:00Z,13:30:00Z,Castle Point,BC,321,LEC,NA,,,
Social Network Analysis,BIA 658B,10013,3,3,35,19,O,2019-08-26Z,2019-12-20Z,Gomez E,2019F,M,14:15:00Z,16:45:00Z,Castle Point,BC,204,LEC,NA,,,
Social Network Analysis,BIA 658C,10014,3,3,35,9,O,2019-08-26Z,2019-12-20Z,Gomez E,2019F,R,8:30:00Z,11:00:00Z,Castle Point,BC,312,LEC,NA,,,
